season,week,team,opponent_team,def_sacks,def_interceptions,fumble_recovery_opp,def_tds,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,special_teams_tds
2023,1,ARI,WAS,6,1,2,0,0,0,0,0,0
2023,1,ATL,CAR,2,2,1,0,0,0,0,0,0
2023,1,BAL,HOU,5,0,1,0,0,0,0,0,0
2023,1,BUF,NYJ,3,1,0,0,0,0,0,0,0
2023,1,CAR,ATL,4,0,0,0,0,0,0,0,0
2023,1,CHI,GB,1,0,0,0,0,0,0,0,0
2023,1,CIN,CLE,3,1,1,0,0,0,0,0,0
2023,1,CLE,CIN,2,0,0,0,0,0,0,0,0
2023,1,DAL,NYG,7,2,1,1,0,0,0,1,1
2023,1,DEN,LV,0,1,0,0,0,0,0,0,0
2023,1,DET,KC,0,1,0,1,0,0,0,0,0
2023,1,GB,CHI,4,1,1,1,0,0,0,0,0
2023,1,HOU,BAL,3,1,1,0,0,0,0,0,0
2023,1,IND,JAX,2,1,1,0,0,0,0,0,0
2023,1,JAX,IND,4,1,2,0,0,0,0,0,0
2023,1,KC,DET,1,0,1,0,0,0,0,0,0
2023,1,LA,SEA,2,0,0,0,0,0,0,0,0
2023,1,LAC,MIA,0,1,1,0,0,0,0,0,0
2023,1,LV,DEN,2,0,0,0,0,0,0,0,0
2023,1,MIA,LAC,3,0,0,0,0,0,0,0,0
2023,1,MIN,TB,1,0,0,0,0,0,0,0,0
2023,1,NE,PHI,3,0,1,0,0,0,0,0,0
2023,1,NO,TEN,3,3,0,0,0,0,0,0,0
2023,1,NYG,DAL,0,0,0,0,0,0,0,0,0
2023,1,NYJ,BUF,5,3,1,0,0,0,0,0,1
2023,1,PHI,NE,2,1,1,1,0,0,0,0,0
2023,1,PIT,SF,3,0,1,0,0,0,0,0,0
2023,1,SEA,LA,0,0,0,0,0,0,0,1,0
2023,1,SF,PIT,5,2,0,0,0,0,0,0,0
2023,1,TB,MIN,2,1,2,0,0,0,0,0,0
2023,1,TEN,NO,4,1,1,0,0,0,0,0,0
2023,1,WAS,ARI,3,0,2,0,0,0,0,0,0
2023,2,ARI,NYG,3,1,0,0,0,0,0,0,0
2023,2,ATL,GB,1,0,0,0,0,0,0,0,0
2023,2,BAL,CIN,1,1,0,0,0,0,0,0,0
2023,2,BUF,LV,0,2,1,0,0,0,0,0,0
2023,2,CAR,NO,4,1,0,0,0,0,0,0,0
2023,2,CHI,TB,0,0,0,0,0,0,0,1,0
2023,2,CIN,BAL,0,0,0,0,0,0,0,0,1
2023,2,CLE,PIT,2,1,1,0,0,0,0,0,0
2023,2,DAL,NYJ,3,3,1,0,0,0,0,0,0
2023,2,DEN,WAS,4,0,0,0,0,0,0,0,0
2023,2,DET,SEA,1,0,0,0,0,0,0,0,0
