season,week,team,opponent_team,def_sacks,def_interceptions,fumble_recovery_opp,def_tds,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,special_teams_tds
2025,1,ARI,NO,1,0,0,0,0,0,0,0,0
2025,1,ATL,TB,1,0,0,0,0,0,0,0,0
2025,1,BAL,BUF,1,0,0,0,0,0,0,0,0
2025,1,BUF,BAL,2,0,1,0,0,0,0,0,0
2025,1,CAR,JAX,0,1,0,0,0,0,0,0,0
2025,1,CHI,MIN,3,1,0,1,0,0,0,0,0
2025,1,CIN,CLE,2,2,0,0,0,0,0,0,0
2025,1,CLE,CIN,3,0,0,0,0,0,0,0,0
2025,1,DAL,PHI,1,0,0,0,0,0,0,0,0
2025,1,DEN,TEN,6,0,2,0,0,0,0,0,0
2025,1,DET,GB,0,0,0,0,0,0,0,0,0
2025,1,GB,DET,4,1,0,0,0,0,0,0,0
2025,1,HOU,LA,3,0,1,0,0,0,0,0,0
2025,1,IND,MIA,3,2,1,0,0,0,0,0,0
2025,1,JAX,CAR,1,2,1,0,0,0,0,0,0
2025,1,KC,LAC,3,0,0,0,0,0,0,0,0
2025,1,LA,HOU,3,1,1,0,0,0,0,0,0
2025,1,LAC,KC,2,0,0,0,0,0,0,0,0
2025,1,LV,NE,4,1,0,0,0,0,0,0,0
2025,1,MIA,IND,1,0,0,0,0,0,0,0,0
2025,1,MIN,CHI,2,0,1,0,0,0,0,0,0
2025,1,NE,LV,4,1,0,0,0,0,0,0,0
2025,1,NO,ARI,5,0,0,0,0,0,0,1,0
2025,1,NYG,WAS,3,0,0,0,0,0,0,0,0
2025,1,NYJ,PIT,4,0,0,0,0,0,0,0,0
2025,1,PHI,DAL,0,0,1,0,0,0,0,0,0
2025,1,PIT,NYJ,1,0,1,0,0,0,0,0,0
2025,1,SEA,SF,1,2,0,0,0,0,0,1,0
2025,1,SF,SEA,1,0,2,0,0,0,0,0,0
2025,1,TB,ATL,1,0,0,0,0,0,0,0,0
2025,1,TEN,DEN,1,2,2,0,0,0,0,0,0
2025,1,WAS,NYG,2,0,0,0,0,0,0,0,0
2025,2,ARI,CAR,3,1,1,0,0,0,0,0,0
2025,2,ATL,MIN,6,2,2,0,0,0,0,0,0
2025,2,BAL,CLE,2,1,1,0,0,1,0,0,0
2025,2,BUF,NYJ,4,0,1,0,0,0,0,0,0
2025,2,CAR,ARI,1,1,0,0,0,0,0,0,0
2025,2,CHI,DET,0,0,0,0,0,0,0,0,0
2025,2,CIN,JAX,1,2,0,0,0,0,0,0,0
2025,2,CLE,BAL,3,0,0,0,0,0,0,0,0
2025,2,DAL,NYG,2,1,0,0,0,0,0,0,0
2025,2,DEN,IND,1,0,0,0,0,0,0,0,0
