player_id,player_display_name,position,season,week,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_2pt_conversions,special_teams_tds,fumbles_lost_total,fg_made,fg_att,fg_missed,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,pat_made,pat_missed
00-0019596,Tom Brady,QB,2020,1,TB,NO,23,36,239,2,2,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0020531,Drew Brees,QB,2020,1,NO,TB,18,30,160,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0022127,Jason Witten,TE,2020,1,LV,CAR,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0022824,Andy Lee,P,2020,1,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0022921,Larry Fitzgerald,WR,2020,1,ARI,SF,0,0,0,0,0,0,0,0,0,0,4,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0022924,Ben Roethlisberger,QB,2020,1,PIT,NYG,21,32,229,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0022942,Philip Rivers,QB,2020,1,IND,JAX,36,46,363,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0023252,Robbie Gould,K,2020,1,SF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,2,0
00-0023459,Aaron Rodgers,QB,2020,1,GB,MIN,32,44,364,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0023500,Frank Gore,RB,2020,1,NYJ,BUF,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0023534,Dustin Colquitt,P,2020,1,PIT,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0023682,Ryan Fitzpatrick,QB,2020,1,MIA,NE,20,30,191,0,3,0,5,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0023853,Matt Prater,K,2020,1,DET,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,1,1,0,0,0,0,0,0,2,0
00-0024239,Johnathan Joseph,CB,2020,1,TEN,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0024270,Andrew Whitworth,OT,2020,1,LA,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0024333,Stephen Gostkowski,K,2020,1,TEN,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0,0,2,1,1
00-0024417,Sam Koch,P,2020,1,BAL,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0025394,Adrian Peterson,RB,2020,1,DET,CHI,0,0,0,0,0,0,14,93,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0025396,Ted Ginn,WR,2020,1,CHI,DET,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0025418,Greg Olsen,TE,2020,1,SEA,ATL,0,0,0,0,0,0,0,0,0,0,4,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0025565,Nick Folk,K,2020,1,NE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0
