season,week,team,opponent_team,def_sacks,def_interceptions,fumble_recovery_opp,def_tds,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,special_teams_tds
2020,1,ARI,SF,3,0,0,0,0,1,0,0,0
2020,1,ATL,SEA,3,0,0,0,0,0,0,0,0
2020,1,BAL,CLE,2,1,2,0,0,0,0,0,0
2020,1,BUF,NYJ,3,1,1,0,0,0,0,0,0
2020,1,CAR,LV,0,0,0,0,0,0,0,0,0
2020,1,CHI,DET,1,1,0,0,0,0,0,0,0
2020,1,CIN,LAC,2,0,0,0,0,0,0,0,0
2020,1,CLE,BAL,2,0,1,0,0,0,0,0,0
2020,1,DAL,LA,1,1,0,0,0,0,0,0,0
2020,1,DEN,TEN,1,0,0,0,0,0,0,1,0
2020,1,DET,CHI,1,0,0,0,0,0,0,0,0
2020,1,GB,MIN,2,1,0,0,1,0,0,0,0
2020,1,HOU,KC,1,0,0,0,0,0,0,0,0
2020,1,IND,JAX,4,0,0,0,0,0,0,0,0
2020,1,JAX,IND,1,2,0,0,0,0,0,0,0
2020,1,KC,HOU,4,1,0,0,0,0,0,0,0
2020,1,LA,DAL,3,0,0,0,0,0,0,0,0
2020,1,LAC,CIN,3,1,1,0,0,0,0,0,0
2020,1,LV,CAR,1,0,0,0,0,0,0,0,0
2020,1,MIA,NE,2,0,0,0,0,0,0,0,0
2020,1,MIN,GB,0,0,0,0,0,0,0,0,0
2020,1,NE,MIA,1,3,0,0,0,0,0,0,0
2020,1,NO,TB,3,2,1,1,0,0,0,1,0
2020,1,NYG,PIT,2,0,1,0,0,0,0,0,0
2020,1,NYJ,BUF,3,0,2,0,0,0,0,0,0
2020,1,PHI,WAS,3,0,0,0,0,0,0,0,0
2020,1,PIT,NYG,3,2,0,0,0,0,0,0,0
2020,1,SEA,ATL,2,1,1,0,0,0,0,0,0
2020,1,SF,ARI,2,1,0,0,0,0,0,0,0
2020,1,TB,NO,1,0,0,0,0,0,0,0,0
2020,1,TEN,DEN,0,0,1,0,0,0,0,0,0
2020,1,WAS,PHI,8,2,1,0,0,0,0,0,0
2020,2,ARI,WAS,4,0,2,0,0,0,0,0,0
2020,2,ATL,DAL,1,0,3,0,0,0,0,0,0
2020,2,BAL,HOU,4,1,1,0,0,0,0,0,0
2020,2,BUF,MIA,3,0,0,0,0,0,0,0,0
2020,2,CAR,TB,0,1,1,0,0,0,0,0,0
2020,2,CHI,NYG,4,1,1,0,0,0,0,0,0
2020,2,CIN,CLE,0,1,0,0,0,0,0,0,0
2020,2,CLE,CIN,3,0,1,0,0,0,0,0,0
2020,2,DAL,ATL,1,0,0,0,0,0,0,0,0
2020,2,DEN,PIT,1,1,1,0,0,0,0,0,0
2020,2,DET,GB,1,0,0,0,0,0,0,0,0
2020,2,GB,DET,4,1,0,1,0,0,0,0,0
2020,2,HOU,BAL,4,0,0,0,0,0,0,0,0
2020,2,IND,MIN,3,3,0,0,1,0,0,0,0
2020,2,JAX,TEN,1,0,0,0,0,0,0,0,0
2020,2,KC,LAC,2,1,0,0,0,0,0,0,0
2020,2,LA,PHI,0,2,1,0,0,0,0,0,0
2020,2,LAC,KC,1,0,0,0,0,0,1,0,0
2020,2,LV,NO,0,1,0,0,0,0,0,0,0
2020,2,MIA,BUF,1,0,1,0,0,0,0,0,0
2020,2,MIN,IND,2,1,0,0,0,0,0,0,0
2020,2,NE,SEA,2,1,0,1,0,0,0,0,0
2020,2,NO,LV,3,0,1,0,0,0,0,0,0
2020,2,NYG,CHI,4,2,0,0,0,0,0,0,0
2020,2,NYJ,SF,3,1,0,0,0,0,0,0,0
2020,2,PHI,LA,1,0,1,0,0,0,1,0,0
2020,2,PIT,DEN,7,1,1,0,1,0,0,0,0
2020,2,SEA,NE,1,1,0,0,0,0,0,0,0
2020,2,SF,NYJ,1,0,0,0,0,0,0,0,0
2020,2,TB,CAR,5,2,2,0,0,0,0,0,0
2020,2,TEN,JAX,2,2,0,0,0,0,0,0,0
2020,2,WAS,ARI,3,1,0,0,0,0,0,0,0
2020,3,ARI,DET,4,0,0,0,0,0,0,0,0
2020,3,ATL,CHI,2,2,0,0,0,0,0,0,0
2020,3,BAL,KC,0,0,1,0,0,0,0,0,1
2020,3,BUF,LA,2,1,1,0,0,0,0,0,0
2020,3,CAR,LAC,2,1,3,0,0,0,0,0,0
2020,3,CHI,ATL,2,1,0,0,0,0,0,0,0
2020,3,CIN,PHI,3,2,0,0,0,0,0,0,0
2020,3,CLE,WAS,3,3,2,0,0,0,0,0,0
2020,3,DAL,SEA,4,0,0,0,0,0,0,0,0
2020,3,DEN,TB,2,0,0,0,0,0,1,0,0
2020,3,DET,ARI,1,3,0,0,0,0,0,0,0
2020,3,GB,NO,2,0,1,0,0,0,0,0,0
2020,3,HOU,PIT,2,0,0,0,0,0,0,0,0
2020,3,IND,NYJ,2,3,0,2,1,0,0,0,0
2020,3,JAX,MIA,1,0,0,0,0,0,0,0,0
2020,3,KC,BAL,4,0,1,0,0,0,0,0,0
2020,3,LA,BUF,4,1,1,0,0,0,0,0,0
2020,3,LAC,CAR,2,0,0,0,0,0,1,0,0
2020,3,LV,NE,2,1,0,0,0,0,0,0,0
2020,3,MIA,JAX,4,1,1,0,0,0,0,0,0
2020,3,MIN,TEN,2,1,0,0,0,0,0,0,0
2020,3,NE,LV,2,0,3,0,0,0,0,0,0
2020,3,NO,GB,1,0,0,0,0,0,0,0,0
2020,3,NYG,SF,2,0,0,0,0,0,0,0,0
2020,3,NYJ,IND,0,0,0,0,0,0,0,0,0
2020,3,PHI,CIN,8,0,0,0,0,0,0,0,0
2020,3,PIT,HOU,5,1,0,0,0,0,0,0,0
2020,3,SEA,DAL,2,2,1,0,1,0,1,0,0
2020,3,SF,NYG,2,1,2,0,0,0,0,0,0
2020,3,TB,DEN,6,2,0,0,1,1,0,0,0
2020,3,TEN,MIN,2,2,1,0,0,0,0,0,0
2020,3,WAS,CLE,2,0,0,0,0,0,0,0,0
2020,4,ARI,CAR,0,1,0,0,0,0,0,0,0
2020,4,ATL,GB,1,0,0,0,0,0,0,0,0
2020,4,BAL,WAS,3,0,1,0,0,0,0,0,0
2020,4,BUF,LV,2,0,2,0,0,0,0,0,0
2020,4,CAR,ARI,1,0,1,0,0,0,0,0,0
2020,4,CHI,IND,1,0,0,0,0,0,0,0,0
2020,4,CIN,JAX,3,1,0,0,0,0,0,0,0
2020,4,CLE,DAL,3,1,2,0,0,0,0,0,0
2020,4,DAL,CLE,2,0,0,0,0,0,0,0,0
2020,4,DEN,NYJ,6,0,0,0,0,0,0,0,0
2020,4,DET,NO,2,1,0,0,0,0,0,0,0
2020,4,GB,ATL,4,0,0,0,0,0,0,0,0
2020,4,HOU,MIN,3,0,0,0,0,0,0,0,0
2020,4,IND,CHI,1,1,0,0,0,0,0,0,0
2020,4,JAX,CIN,1,1,0,0,0,0,0,0,0
2020,4,KC,NE,2,3,1,1,0,0,0,0,0
2020,4,LA,NYG,5,1,0,0,0,0,0,0,0
2020,4,LAC,TB,0,1,0,1,0,0,0,0,0
2020,4,LV,BUF,1,0,0,0,0,0,0,0,0
2020,4,MIA,SEA,2,1,0,0,0,0,0,0,0
2020,4,MIN,HOU,3,0,1,0,0,0,0,0,0
2020,4,NE,KC,1,0,1,0,0,0,0,0,0
2020,4,NO,DET,3,1,0,0,0,0,0,0,0
2020,4,NYG,LA,2,0,1,0,0,0,0,0,0
2020,4,NYJ,DEN,0,3,0,1,0,0,0,0,0
2020,4,PHI,SF,5,2,1,1,0,0,0,0,0
2020,4,SEA,MIA,1,2,0,0,0,0,0,0,0
2020,4,SF,PHI,3,1,0,0,0,0,0,0,0
2020,4,TB,LAC,2,1,1,0,0,0,0,0,0
2020,4,WAS,BAL,1,2,0,0,0,0,0,0,0
2020,5,ARI,NYJ,3,0,0,0,0,0,0,0,0
2020,5,ATL,CAR,0,0,0,0,0,0,0,0,0
2020,5,BAL,CIN,7,1,2,0,0,0,0,0,0
2020,5,BUF,TEN,0,0,0,0,0,0,0,0,0
2020,5,CAR,ATL,2,1,0,0,0,0,0,0,0
2020,5,CHI,TB,3,0,1,0,0,0,0,0,0
2020,5,CIN,BAL,1,1,0,0,0,0,0,0,0
2020,5,CLE,IND,1,2,0,1,1,0,0,0,0
2020,5,DAL,NYG,2,0,1,0,0,0,0,0,0
2020,5,HOU,JAX,3,0,2,0,0,0,0,0,0
2020,5,IND,CLE,1,2,0,0,0,0,0,0,1
2020,5,JAX,HOU,1,2,0,0,0,0,0,0,0
2020,5,KC,LV,1,1,0,0,0,0,0,0,0
2020,5,LA,WAS,8,0,0,0,0,0,0,0,0
2020,5,LAC,NO,2,1,0,0,0,0,0,0,0
