season,week,team,opponent_team,def_sacks,def_interceptions,fumble_recovery_opp,def_tds,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,special_teams_tds
2022,1,ARI,KC,0,0,1,0,0,0,0,0,0
2022,1,ATL,NO,4,0,1,0,0,0,0,0,0
2022,1,BAL,NYJ,3,1,1,0,0,0,0,0,0
2022,1,BUF,LA,7,3,0,0,0,0,0,0,0
2022,1,CAR,CLE,1,0,0,0,0,0,0,0,0
2022,1,CHI,SF,2,1,1,0,0,0,0,0,0
2022,1,CIN,PIT,1,0,0,0,0,0,0,0,0
2022,1,CLE,CAR,4,1,0,0,0,0,0,0,0
2022,1,DAL,TB,2,1,0,0,0,0,0,0,0
2022,1,DEN,SEA,2,0,1,0,0,0,0,0,0
2022,1,DET,PHI,1,0,0,0,0,0,0,0,0
2022,1,GB,MIN,1,0,0,0,0,0,0,0,0
2022,1,HOU,IND,2,1,1,0,0,0,0,0,0
2022,1,IND,HOU,3,0,1,0,0,0,0,0,0
2022,1,JAX,WAS,1,2,1,0,0,0,0,0,0
2022,1,KC,ARI,3,0,0,0,0,0,0,0,0
2022,1,LA,BUF,2,2,2,0,0,0,0,0,0
2022,1,LAC,LV,6,3,0,0,0,0,0,0,0
2022,1,LV,LAC,0,0,0,0,0,0,0,0,0
2022,1,MIA,NE,2,1,2,0,0,0,0,0,0
2022,1,MIN,GB,4,1,1,0,0,0,0,0,0
2022,1,NE,MIA,3,0,0,0,0,0,0,0,0
2022,1,NO,ATL,0,0,2,0,0,0,0,1,0
2022,1,NYG,TEN,1,0,1,0,0,0,0,0,0
2022,1,NYJ,BAL,2,1,0,0,0,0,0,0,0
2022,1,PHI,DET,1,1,0,1,0,0,0,0,0
2022,1,PIT,CIN,7,4,1,1,0,0,1,0,0
2022,1,SEA,DEN,2,0,2,0,0,0,0,0,0
2022,1,SF,CHI,2,1,0,0,0,0,0,0,0
2022,1,TB,DAL,4,1,0,0,0,0,0,0,0
2022,1,TEN,NYG,5,1,1,0,0,0,0,0,0
2022,1,WAS,JAX,2,1,0,0,0,0,0,0,0
2022,2,ARI,LV,1,0,1,0,0,0,0,0,0
2022,2,ATL,LA,1,2,1,0,1,1,0,0,1
2022,2,BAL,MIA,1,2,0,0,0,0,0,0,1
2022,2,BUF,TEN,2,2,2,1,0,0,0,0,0
2022,2,CAR,NYG,3,0,0,0,0,0,0,0,0
2022,2,CHI,GB,3,0,1,0,0,0,0,0,0
2022,2,CIN,DAL,1,0,1,0,0,0,0,0,0
2022,2,CLE,NYJ,2,0,1,0,0,0,0,0,0
2022,2,DAL,CIN,6,0,0,0,0,0,0,0,0
2022,2,DEN,HOU,3,0,0,0,0,0,0,0,0
2022,2,DET,WAS,5,1,0,0,1,0,0,0,0
2022,2,GB,CHI,3,1,0,0,0,0,0,0,0
2022,2,HOU,DEN,3,1,0,0,0,0,0,0,0
2022,2,IND,JAX,0,0,0,0,0,0,0,0,0
2022,2,JAX,IND,5,3,0,0,0,0,0,0,0
2022,2,KC,LAC,2,1,0,1,0,0,0,0,0
2022,2,LA,ATL,3,2,1,0,0,0,0,0,0
2022,2,LAC,KC,1,0,0,0,0,0,0,0,0
2022,2,LV,ARI,1,1,0,0,0,0,0,0,0
2022,2,MIA,BAL,0,0,0,0,0,0,0,0,0
2022,2,MIN,PHI,3,1,0,0,0,0,0,1,0
2022,2,NE,PIT,3,1,1,0,0,0,0,0,0
2022,2,NO,TB,1,0,1,0,0,0,0,0,0
2022,2,NYG,CAR,2,0,2,0,0,0,0,0,0
2022,2,NYJ,CLE,1,1,0,0,0,0,0,0,0
2022,2,PHI,MIN,2,3,0,0,0,0,0,0,0
