season,internal_player_id,fantasypros_id,player_name,position,nfl_team,drafted,jugg_salary,jugg_owner,espn_salary_cap_value,espn_overall_rank,espn_position_rank,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,player_pool_source
2022,nfl:gsis:00-0036970,20164,Kyle Pitts Sr.,TE,ATL,True,37,Phil Carr,21,38,3,35.0,33.0,133.429,12,espn_and_jugg
2022,nfl:gsis:00-0036971,19780,Trevor Lawrence,QB,JAX,False,,,1,127,16,142.0,174.0,301.25,,espn
2022,nfl:gsis:00-0036972,20156,Mac Jones,QB,SF,False,,,0,243,24,173.0,151.0,287.001,,espn
2022,nfl:gsis:00-0036973,19231,Travis Etienne Jr.,RB,NO,True,9,Joey Breeland,14,48,21,45.0,43.0,168.973,,espn_and_jugg
2022,nfl:gsis:00-0036980,20114,Elijah Moore,WR,PHI,True,2,Phil Carr,6,68,32,91.0,95.0,138.735,,espn_and_jugg
2022,nfl:gsis:00-0036988,22845,Joshua Palmer,WR,BUF,False,,,1,132,57,164.0,179.0,84.788,,espn
2022,nfl:gsis:00-0036997,22739,Javonte Williams,RB,DAL,True,30,Robbie Bagwell,37,18,10,23.0,25.0,197.717,3,espn_and_jugg
2022,nfl:gsis:00-0037005,22795,Tommy Tremble,TE,CAR,False,,,0,290,31,,,44.147,,espn
2022,nfl:gsis:00-0037012,20082,Trey Lance,QB,LAC,True,2,Nate Corbett,2,103,13,104.0,92.0,341.469,2,espn_and_jugg
2022,nfl:gsis:00-0037013,22679,Zach Wilson,QB,NO,False,,,0,266,27,218.0,,233.045,,espn
2022,nfl:gsis:00-0037197,24333,Isiah Pacheco,RB,DET,True,2,Robbie Bagwell,0,197,58,197.0,165.0,43.199,,espn_and_jugg
2022,nfl:gsis:00-0037238,23163,Drake London,WR,ATL,False,,,3,95,40,96.0,122.0,116.232,,espn
2022,nfl:gsis:00-0037239,20111,Chris Olave,WR,NO,True,1,Phil Carr,2,99,44,109.0,135.0,92.326,,espn_and_jugg
2022,nfl:gsis:00-0037240,23677,Jameson Williams,WR,DET,False,,,0,203,75,,225.0,66.0,,espn
2022,nfl:gsis:00-0037247,22963,George Pickens,WR,DAL,False,,,0,172,63,146.0,130.0,88.187,,espn
2022,nfl:gsis:00-0037248,22958,James Cook III,RB,BUF,False,,,0,161,44,128.0,118.0,91.217,,espn
2022,nfl:gsis:00-0037256,23891,Rachaad White,RB,WAS,False,,,0,193,54,219.0,181.0,75.206,,espn
2022,nfl:gsis:00-0037258,22947,Dameon Pierce,RB,PHI,True,8,Nate Corbett,4,79,27,78.0,75.0,154.219,,espn_and_jugg
2022,nfl:gsis:00-0037263,24172,Tyler Allgeier,RB,ARI,False,,,0,194,55,185.0,184.0,74.571,,espn
2022,nfl:gsis:00-0037617,23798,Hassan Haskins,RB,NE,False,,,0,241,78,,,33.746,,espn
2022,nfl:gsis:00-0037664,23791,Alec Pierce,WR,IND,False,,,0,177,68,,,79.521,,espn
2022,nfl:gsis:00-0037666,23770,Jalen Tolbert,WR,MIA,False,,,0,178,69,208.0,172.0,74.127,,espn
2022,nfl:gsis:00-0037740,23072,Garrett Wilson,WR,NYJ,False,,,2,111,48,120.0,166.0,85.753,,espn
2022,nfl:gsis:00-0037741,23101,Jahan Dotson,WR,ATL,False,,,1,130,55,151.0,189.0,84.12,,espn
2022,nfl:gsis:00-0037742,22905,Treylon Burks,WR,WAS,True,1,Brandon Martin,2,117,54,143.0,194.0,119.163,,espn_and_jugg
2022,nfl:gsis:00-0037745,24214,Velus Jones Jr.,WR,SEA,False,,,0,218,80,,,46.154,,espn
2022,nfl:gsis:00-0037746,20094,Brian Robinson Jr.,RB,ATL,False,,,2,120,42,165.0,133.0,96.7,,espn
2022,nfl:gsis:00-0037816,23794,Romeo Doubs,WR,NE,False,,,0,181,72,180.0,187.0,65.48,,espn
2022,nfl:gsis:00-0037827,22992,Tyrion Davis-Price,RB,FA,False,,,0,213,71,,,30.124,,espn
2022,nfl:gsis:00-0037838,23781,Isaiah Likely,TE,NYG,False,,,0,257,27,221.0,164.0,52.254,,espn
2022,nfl:gsis:00-0038040,20095,Zamir White,RB,SF,False,,,0,196,57,225.0,183.0,61.961,,espn
2022,nfl:gsis:00-0038045,23143,Isaiah Spiller,RB,FA,False,,,0,210,68,,190.0,46.416,,espn
2022,nfl:gsis:00-0038090,23905,Skyy Moore,WR,GB,True,1,Phil Carr,1,133,58,137.0,192.0,70.392,,espn_and_jugg
2022,nfl:gsis:00-0038102,22722,Kenny Pickett,QB,CAR,True,1,Brandon Martin,0,270,31,211.0,128.0,99.345,,espn_and_jugg
2022,nfl:gsis:00-0038117,22985,Wan'Dale Robinson,WR,TEN,False,,,0,175,66,,,51.785,,espn
2022,nfl:gsis:00-0038120,22982,Breece Hall,RB,NYJ,True,8,Robbie Bagwell,21,39,17,48.0,41.0,175.553,,espn_and_jugg
2022,nfl:gsis:00-0038122,20080,Desmond Ridder,QB,FA,False,,,0,310,35,,,81.06,,espn
