season,source,scoring,teams,budget_per_team,overall_rank,position,position_rank,player_name,nfl_team,salary_cap_value,bye_week,internal_player_id,fantasypros_id,identity_status,match_method,match_confidence,source_pdf,source_sha256
2023,espn,non_ppr,10,200,26,QB,1,Patrick Mahomes,KC,30,10,nfl:gsis:00-0033873,16413,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,3,RB,1,Derrick Henry,TEN,58,7,nfl:gsis:00-0032764,15514,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,241,RB,78,Emari Demercado,ARI,0,14,nfl:gsis:00-0038705,25654,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,179,WR,68,Romeo Doubs,GB,0,6,nfl:gsis:00-0037816,23794,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,27,QB,2,Josh Allen,BUF,30,13,nfl:gsis:00-0034857,17298,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,4,RB,2,Austin Ekeler,LAC,57,5,nfl:gsis:00-0033699,16483,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,242,RB,79,Myles Gaskin,MIN,0,13,nfl:gsis:00-0035311,17251,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,180,WR,69,Van Jefferson,LAR,0,10,nfl:gsis:00-0036415,19483,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,28,QB,3,Jalen Hurts,PHI,29,10,nfl:gsis:00-0036389,19275,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,8,RB,3,Christian McCaffrey,SF,51,9,nfl:gsis:00-0033280,16393,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,250,RB,80,Jaleel McLaughlin,DEN,0,9,nfl:gsis:00-0038794,25876,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,181,WR,70,Rashod Bateman,BAL,0,13,nfl:gsis:00-0036550,19794,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,39,QB,4,Lamar Jackson,BAL,21,13,nfl:gsis:00-0034796,17233,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,9,RB,4,Nick Chubb,CLE,49,5,nfl:gsis:00-0034791,17246,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,264,RB,81,Zamir White,LV,0,13,nfl:gsis:00-0038040,20095,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,193,WR,71,Marquez Valdes-Scantling,KC,0,10,nfl:gsis:00-0034272,17528,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,40,QB,5,Joe Burrow,CIN,20,7,nfl:gsis:00-0036442,19196,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,10,RB,5,Bijan Robinson,ATL,48,11,nfl:gsis:00-0038542,23133,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,265,RB,82,Kendre Miller,NO,0,11,nfl:gsis:00-0038551,24360,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,194,WR,72,Jameson Williams,DET,0,9,nfl:gsis:00-0037240,23677,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,55,QB,6,Justin Herbert,LAC,10,5,nfl:gsis:00-0036355,18635,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,12,RB,6,Saquon Barkley,NYG,44,13,nfl:gsis:00-0034844,17240,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,276,RB,83,Chris Evans,CIN,0,7,nfl:gsis:00-0036857,22797,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,195,WR,73,Isaiah Hodgins,NYG,0,13,nfl:gsis:00-0036165,19375,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,56,QB,7,Justin Fields,CHI,10,13,nfl:gsis:00-0036945,19781,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,14,RB,7,Tony Pollard,DAL,42,7,nfl:gsis:00-0035261,18705,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,277,RB,84,Justice Hill,BAL,0,13,nfl:gsis:00-0034975,18256,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,196,WR,74,Alec Pierce,IND,0,11,nfl:gsis:00-0037664,23791,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,73,QB,8,Deshaun Watson,CLE,6,5,nfl:gsis:00-0033537,16398,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,19,RB,8,Josh Jacobs,LV,36,13,nfl:gsis:00-0035700,18269,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,278,RB,85,Chris Rodriguez Jr.,WAS,0,14,nfl:gsis:00-0038611,22986,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,197,WR,75,DeVante Parker,NE,0,11,nfl:gsis:00-0031547,13897,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,74,QB,9,Trevor Lawrence,JAX,5,9,nfl:gsis:00-0036971,19780,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,20,RB,9,Travis Etienne Jr.,JAX,35,9,nfl:gsis:00-0036973,19231,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
2023,espn,non_ppr,10,200,198,WR,76,Marvin Mims Jr.,DEN,0,9,nfl:gsis:00-0038976,23080,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2023_non_ppr.pdf,4f935ce7109b1d28fb868d5cf5d68028cfe0587b9f81d74b8fd636e09ed260b5
