season,reason,fantasypros_id,name,position,team,ffa_candidates,action_needed,recommended_action
2020,unmatched,17693,Michael Badgley,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19028,Joey Slye,K,TEN,,no,None; FFA has no matching enrichment row
2020,unmatched,9004,Adam Vinatieri,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,12378,Brett Maher,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,11815,Caleb Sturgis,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,13606,Chandler Catanzaro,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19058,Chase McLaughlin,K,TB,,no,None; FFA has no matching enrichment row
2020,unmatched,11145,Giorgio Tavecchio,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,10081,Kai Forbath,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9434,Matt Bryant,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18545,Matt Gay,K,LV,,no,None; FFA has no matching enrichment row
2020,unmatched,17893,Matt McCrane,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9474,Mike Nugent,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9508,Phil Dawson,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9560,Sebastian Janikowski,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9581,Stephen Hauschka,K,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16841,P.J. Walker,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18185,John Wolford,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19220,Jacob Eason,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19628,James Morgan,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19243,Jake Fromm,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17630,Alex McGough,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,11412,Alex Tanney,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,11172,Andrew Luck,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19318,Anthony Gordon,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19827,Ben DiNucci,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,12090,Blake Bortles,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15745,Brandon Allen,QB,NYG,,no,None; FFA has no matching enrichment row
2020,unmatched,11175,Brandon Weeden,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18323,Brett Rypien,QB,HOU,,no,None; FFA has no matching enrichment row
2020,unmatched,11179,Brock Osweiler,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18454,Clayton Thorson,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15644,Cody Kessler,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19500,Cole McDonald,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9891,Colin Kaepernick,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16477,Cooper Rush,QB,ATL,,no,None; FFA has no matching enrichment row
2020,unmatched,17542,Danny Etling,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16418,Davis Webb,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16389,DeShone Kizer,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9178,Derek Anderson,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19063,Devlin Hodges,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9201,Drew Stanton,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15845,Jake Rudock,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9326,Josh Johnson,QB,CIN,,no,None; FFA has no matching enrichment row
2020,unmatched,9327,Josh McCown,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17456,Kyle Lauletta,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16902,Kyle Sloter,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17293,Luke Falk,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9425,Mark Sanchez,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9435,Matt Cassel,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17447,Mike White,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19461,Nate Stanley,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18427,Nick Fitzgerald,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15493,Paxton Lynch,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9678,Sam Bradford,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17495,Tanner Lee,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,13932,Taylor Heinicke,QB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17297,Nyheim Miller-Hines,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17867,Reggie Bonnafon,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19647,Rico Dowdle,RB,PIT,,no,None; FFA has no matching enrichment row
2020,unmatched,18026,Jeff Wilson Jr.,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19438,J.J. Taylor,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,12342,David Fluellen,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19111,D'Ernest Johnson,RB,TEN,,no,None; FFA has no matching enrichment row
2020,unmatched,18847,Khari Blasingame,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18571,Alec Ingold,RB,LAC,,no,None; FFA has no matching enrichment row
2020,unmatched,18686,Chandler Cox,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18332,Patrick Laird,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,13333,Senorise Perry,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18603,Jordan Scarlett,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16707,Alex Armah Jr.,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17299,Bo Scarbrough,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19493,Xavier Jones,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16335,Troymaine Pope,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18673,Jakob Johnson,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16835,Taquan Mizzell,RB,NYG,,no,None; FFA has no matching enrichment row
2020,unmatched,19046,Tony Brooks-James,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19844,Reggie Gilliam,RB,NE,,no,None; FFA has no matching enrichment row
2020,unmatched,19613,Raymond Calais,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,16006,Tra Carson,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18957,Jon Hilliman,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15734,Josh Ferguson,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18697,Cullen Gillaspia,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18617,Damarea Crockett,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19496,Adrian Killins Jr.,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,17252,Akrum Wadley,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18626,Alex Barnes,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15546,Alex Collins,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,12282,Alfred Blue,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,11347,Alfred Morris,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,19032,Austin Walter,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,11863,Benny Cunningham Jr.,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,9963,Bilal Powell,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15922,Brandon Wilds,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,18720,Bruce Anderson III,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15816,Byron Marshall,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,11896,C.J. Anderson,RB,FA,,no,None; FFA has no matching enrichment row
2020,unmatched,15614,C.J. Prosise,RB,FA,,no,None; FFA has no matching enrichment row
