season,source,scoring,teams,budget_per_team,overall_rank,position,position_rank,player_name,nfl_team,salary_cap_value,bye_week,internal_player_id,fantasypros_id,identity_status,match_method,match_confidence,source_pdf,source_sha256
2022,espn,non_ppr,10,200,43,QB,1,Josh Allen,BUF,18,7,nfl:gsis:00-0034857,17298,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,1,RB,1,Jonathan Taylor,IND,61,14,nfl:gsis:00-0036223,19217,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,241,RB,78,Hassan Haskins,TEN,0,6,nfl:gsis:00-0037617,23798,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,177,WR,68,Alec Pierce,IND,0,14,nfl:gsis:00-0037664,23791,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,53,QB,2,Patrick Mahomes,KC,11,8,nfl:gsis:00-0033873,16413,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,2,RB,2,Derrick Henry,TEN,59,6,nfl:gsis:00-0032764,15514,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,242,RB,79,DeeJay Dallas,SEA,0,11,nfl:gsis:00-0036425,19521,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,178,WR,69,Jalen Tolbert,DAL,0,9,nfl:gsis:00-0037666,23770,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,54,QB,3,Justin Herbert,LAC,10,8,nfl:gsis:00-0036355,18635,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
2022,espn,non_ppr,10,200,4,RB,3,Christian McCaffrey,CAR,58,13,nfl:gsis:00-0033280,16393,stable,exact_name,0.95,data/raw/espn_cheat_sheets/espn_salary_cap_values_2022_non_ppr.pdf,ebb9ea92da343ede916fd77b5a8bfc4495eb05ea9bfd06de2b6f3d6865893ad8
